location,division_rank
Switzerland,Country
Skolezitkehle,namedPlace
Schattig Wichel,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Ovi di Scimfuss (Alpe Scinfüs),namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Val Strem,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Kalkspatlücke,namedPlace
Piz Giuv,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
zweite Motta,namedPlace
Val Giuv,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Rätzenkehle (Riental),namedPlace
Göschenen,namedPlace
Uri,First Order Division
Switzerland,Country
Rienzenstock,namedPlace
Wassen,namedPlace
Uri,First Order Division
Switzerland,Country
Grüntal,namedPlace
Göschenen,namedPlace
Uri,First Order Division
Switzerland,Country
Felli-Alp Gurtnellen,namedPlace
Uri,First Order Division
Switzerland,Country
oberstes Fellital,namedPlace
Gurtnellen,namedPlace
Uri,First Order Division
Switzerland,Country
Bauns,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Pörtlilücke (Sunnig Wichel),namedPlace
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Calmut,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Oberalpstock,namedPlace
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Krützlital (Drun (Tobel)),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
am S-Grat des Oberalpstock,namedPlace
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Oberalpstock,namedPlace
Uri,First Order Division
Switzerland,Country
Rot Wichel,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Crispalt,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Piz Giuv,namedPlace
Gurtnellen,namedPlace
Uri,First Order Division
Switzerland,Country
Val Giuv (Grat gegen Val Milar),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Piz Nair,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Drun (Tobel),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Ruinas plaunas/Drun (Tobel),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
aus dem Rhein near Sedrun,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Sedrun,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Drun,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
aus dem Rheinbett,namedPlace
Sedrun-Selva,namedPlace
Switzerland,Country
Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Zaniu (Alpe Zaniu),namedPlace
Trun,namedPlace
Grisons,namedPlace
Switzerland,Country
Russeinbrücke,namedPlace
Sumvitg,namedPlace
Grisons,namedPlace
Switzerland,Country
Disentis/Mustèr,namedPlace
Grisons,namedPlace
Switzerland,Country
Val Russein,namedPlace
Sumvitg,namedPlace
Grisons,namedPlace
Switzerland,Country
Piz Muraun,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Val Punteglias,namedPlace
Trun,namedPlace
Grisons,namedPlace
Switzerland,Country
Truns,namedPlace
Grisons,namedPlace
Switzerland,Country
Mine Teufelsgrund,namedPlace
Muldenbach,namedPlace
Untermünstertal,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Uaul Sciaras (Val Nalps),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
am Rhein near Sedrun,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Alp Tgom,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Ruinas,namedPlace
Medel (Lucmagn)/Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Val da Claus (unterstes Val Nalps),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Ruinas (Medelserschlucht),namedPlace
Disentis/Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Crap Alv,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Bova Gronda,namedPlace
Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Surrein (Rabius),namedPlace
Sumvitg,namedPlace
Grisons,namedPlace
Switzerland,Country
Sontg Antoni (St. Antönien-Tavetsch),namedPlace
Surrein,namedPlace
Grisons,namedPlace
Switzerland,Country
Medelserschlucht,namedPlace
Disentis/Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Plauncas Cuflegl (Puozas Cuflegl),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
S-Abhang Calmut (Oberalp),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Sumsassi,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Rueras,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Oberalpsee,namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Rossboden am Oberalpsee,namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Calmut (Oberalp),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Blatten,namedPlace
Valais,First Order Division
Switzerland,Country
Sontga Brida,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Alp Cavradi,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Pazolastock,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Cavradi (unteres Val Curnera),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Val Curnera,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Cavradischlucht (unteres Val Curnera),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Medels,namedPlace
Grisons,namedPlace
Switzerland,Country
Piz Cavradi,namedPlace
Tavetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Lukmanierschlucht (Ruinas),namedPlace
Disentis/Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Val Cavrein,namedPlace
Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Vallone di Casaccia,namedPlace
Olivone,namedPlace
Ticino,First Order Division
Switzerland,Country
Piz Miez,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Vallone di Casaccia,namedPlace
Blenio,Second Order Division
Ticino,First Order Division
Switzerland,Country
Val Cristallina,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Scaleglia (nähe Ragisch),namedPlace
Mompé Medel,namedPlace
Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Solivabach (Curaglia),namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Mompé Medel,namedPlace
Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Specksteingrube Mompé Medel,namedPlace
Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Lukmanierstrasse,namedPlace
Mompé Medel,namedPlace
Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Scaleglia (E Ragisch),namedPlace
Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Alp de Glievers,namedPlace
Switzerland,Country
Val Medel,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Biscuolm,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Cislina,namedPlace
Val Cristallina,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Piz Rondadura,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Scopi,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Passo Forcla,namedPlace
Cristallina,namedPlace
Switzerland,Country
Vallatscha,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Medels,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Val Blaua,namedPlace
Pardatsch,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Glatscher da Maighels (Ravetschgletscher),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Santa Maria,Second Order Division
Blenio,Second Order Division
Ticino,First Order Division
Switzerland,Country
Stgeina Muota (Muota Naira),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Faido,namedPlace
Ticino,First Order Division
Switzerland,Country
Badus,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Lolen (Alp Lohlen),namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Val Maighels,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Piz Blas,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Six Madun,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Alp Maighels,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Piz Tagliola,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Glatscher da Maighels (Maighelsgletscher),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Alp Tgom (Alp Toma),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Piz Uffiern,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Piz Gannaretsch,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Val Cadlimo,namedPlace
Quinto,namedPlace
Ticino,First Order Division
Switzerland,Country
Piz Vatgira,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Val Tgom,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Val Medel (Medels),namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Unteralptal,namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Gurschenalp,namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Unteralp,namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Sella,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
St. Annafirn,namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
St. Annagletscher,namedPlace
Gotthard,namedPlace
Switzerland,Country
Urserental,namedPlace
Hospental,namedPlace
Uri,First Order Division
Switzerland,Country
Hohe Tauern,namedPlace
Stubachtal,namedPlace
Salzburg,First Order Division
Austria,Country
Weilerstauden,namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Gustenberg,namedPlace
Urserental,namedPlace
Switzerland,Country
Urseren,namedPlace
Uri,First Order Division
Switzerland,Country
Urtal,namedPlace
zwischen Hospental und Realp,namedPlace
Uri,First Order Division
Switzerland,Country
Gorduno,namedPlace
Ticino,First Order Division
Switzerland,Country
Rimpfischwäng,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Theodulpass,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Findelgletscher (Findelengletscher),namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Lichenbretter,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Urtal,namedPlace
Uri,First Order Division
Switzerland,Country
Sferlun,namedPlace
Chiesa in Valmalenco,namedPlace
Province Sondrio,namedPlace
Italy,Country
Fruttlauital,namedPlace
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Gotthard-Eisenbahntunnel,namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Findeln,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Riffelalp,namedPlace
Zermatt,namedPlace
Switzerland,Country
Gagenhaupt,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Mettelhorn (Mittelhorn),namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Gagenhaupt-Süd,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Mattertal (Nikolaital),namedPlace
Valais,First Order Division
Switzerland,Country
Matterjoch (Theodulpass),namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Klein Matterhorn,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Garten,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Moräne Allalingletscher,namedPlace
Saas Almagell,namedPlace
Valais,First Order Division
Switzerland,Country
Gabe Gottes,namedPlace
Wildschapbachtal,namedPlace
Schapbach,namedPlace
Freudenstadt,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Furggetälli (Furggetal),namedPlace
Saas Almagell,namedPlace
Valais,First Order Division
Switzerland,Country
Saas (Saas Fee/Saas Almagell),namedPlace
Valais,First Order Division
Switzerland,Country
Dom,namedPlace
Randa,Second Order Division
Valais,First Order Division
Switzerland,Country
Vispertal,namedPlace
Valais,First Order Division
Switzerland,Country
Allalingletscher,namedPlace
Saas Almagell,namedPlace
Valais,First Order Division
Switzerland,Country
Mittaghorn,namedPlace
Saas Almagell,namedPlace
Valais,First Order Division
Switzerland,Country
Saastal,namedPlace
Valais,First Order Division
Switzerland,Country
Bijapur,Second Order Division
India,Country
Gotthard,namedPlace
Campolungo,namedPlace
Prato (Leventina),First Order Division
Ticino,First Order Division
Switzerland,Country
St. Gotthard,namedPlace
Campolungo,namedPlace
Prato (Leventina),First Order Division
Ticino,First Order Division
Switzerland,Country
Hospental,namedPlace
Uri,First Order Division
Switzerland,Country
Chämleten (Kemmleten),namedPlace
Hospental,namedPlace
Uri,First Order Division
Switzerland,Country
Zumdorf,namedPlace
Hospental,namedPlace
Uri,First Order Division
Switzerland,Country
Realp,namedPlace
Uri,First Order Division
Switzerland,Country
Gigenstaffel (Geigenstaffel),namedPlace
Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Fibbia,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Pizzo Centrale,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Val Tremola,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Lucendro,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Gotthard-Eisenbahntunnel,namedPlace
Göschenen/Andermatt,namedPlace
Uri,First Order Division
Switzerland,Country
Brandenberg,namedPlace
Todtnau,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Giubing/Giubiug Gane di Giubine,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Gotthard-Eisenbahntunnel,namedPlace
Switzerland,Country
Mätteli (Gotthardmätteli),namedPlace
Hospental,namedPlace
Uri,First Order Division
Switzerland,Country
Unterwassern near Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Unterwassern,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Geretal,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Ofensteingrube,namedPlace
Geretal,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Faulhorn (Felsbastürze N Tällisegg),namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Gerental,namedPlace
Valais,First Order Division
Switzerland,Country
Grünguffurgrat,namedPlace
Lengisalp,namedPlace
Switzerland,Country
Moosegge,namedPlace
Geretal,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Burggraben,namedPlace
Blasalp,namedPlace
Obergoms,namedPlace
Valais,First Order Division
Switzerland,Country
Hohtschugge,namedPlace
Stalden,namedPlace
Valais,First Order Division
Switzerland,Country
St. Niklaus,namedPlace
Valais,First Order Division
Switzerland,Country
Stalden,namedPlace
Valais,First Order Division
Switzerland,Country
Platten,namedPlace
Valais,First Order Division
Switzerland,Country
Adit Unter dem Hubel (unterhalb Zmuttgletscher),namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Hohtälligrat,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Stockhorn near Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Breithorn,namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
Mine Tannenboden,namedPlace
Wieden,namedPlace
Todtnau,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Monte Rosa,namedPlace
Switzerland,Country
Alpe della Sella,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Müllhorn near Gletsch,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Gotthard,namedPlace
Ticino,First Order Division
Switzerland,Country
Ovi di Scimfuss (Scinfüs),namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Alpe di Fieud,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Herznach,namedPlace
Aargau,First Order Division
Switzerland,Country
Yverdon,namedPlace
Vaud,First Order Division
Switzerland,Country
Le Locle,Second Order Division
Neuchâtel,First Order Division
Switzerland,Country
Cave v. Montjéran near Orbe,namedPlace
Switzerland,Country
Le Crêt-du-Locle,namedPlace
La Chaux-de-Fonds,Second Order Division
Neuchâtel,First Order Division
Switzerland,Country
Grotte de Cottencher,namedPlace
Rochefort,namedPlace
Neuchâtel,First Order Division
Switzerland,Country
Colloz near Sainte-Croix,namedPlace
Vaud,First Order Division
Switzerland,Country
Carrière Les Uttins,namedPlace
Chamblon,namedPlace
Vaud,First Order Division
Switzerland,Country
Quarry La Neuveville,namedPlace
Bern,First Order Division
Switzerland,Country
Ruselsteinbruch,namedPlace
Tüscherz-Alfermée,namedPlace
Bern,First Order Division
Switzerland,Country
Salève,namedPlace
Genève,First Order Division
Switzerland,Country
St. Verena,namedPlace
Solothurn,First Order Division
Switzerland,Country
Quarry Chappeli(cher),namedPlace
Grenchen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Lengnau,namedPlace
Solothurn,First Order Division
Switzerland,Country
Prêles,namedPlace
Bern,First Order Division
Switzerland,Country
Huppergrube Längenmoos,namedPlace
Matzendorf,namedPlace
Solothurn,First Order Division
Switzerland,Country
Matzendorf,namedPlace
Solothurn,First Order Division
Switzerland,Country
Harzergraben,namedPlace
Gänsbüren/Welschenrohr,namedPlace
Solothurn,First Order Division
Switzerland,Country
Günsberg,namedPlace
Solothurn,First Order Division
Switzerland,Country
Reuchenette,namedPlace
Péry,namedPlace
Bern,First Order Division
Switzerland,Country
Weissenstein,namedPlace
Rüttenen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Balmberg,namedPlace
Balm near Günsberg,namedPlace
Solothurn,First Order Division
Switzerland,Country
Bechburg,namedPlace
Holderbank,namedPlace
Solothurn,First Order Division
Switzerland,Country
Schwänglenweid,namedPlace
Mümliswil,namedPlace
Solothurn,First Order Division
Switzerland,Country
Lostorf,namedPlace
Solothurn,First Order Division
Switzerland,Country
zwischen Lavaux + Vaufrey,namedPlace
Switzerland,Country
Wangen near Olten,namedPlace
Solothurn,First Order Division
Switzerland,Country
Quarry Solothurn,namedPlace
Solothurn,First Order Division
Switzerland,Country
Oberbuchsiten,namedPlace
Solothurn,First Order Division
Switzerland,Country
Hansenboden am Homberg,namedPlace
Hägendorf,namedPlace
Solothurn,First Order Division
Switzerland,Country
Olten,Second Order Division
Solothurn,First Order Division
Switzerland,Country
Hinter Born,namedPlace
Boningen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Egerkingen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Felssturz Geissflue,namedPlace
Unter Erlimoos,namedPlace
Trimbach,namedPlace
Solothurn,First Order Division
Switzerland,Country
Kaltenbrunnen,namedPlace
Switzerland (Chaltennbrunnen,namedPlace
Trimbach,namedPlace
Solothurn,First Order Division
Switzerland),namedPlace
Bad Schinznach,namedPlace
Aargau,First Order Division
Switzerland,Country
Quarry am Homberg,namedPlace
Hägendorf,namedPlace
Solothurn,First Order Division
Switzerland,Country
Othmarsingen,namedPlace
Aargau,First Order Division
Switzerland,Country
Unterehrendingen/Oberehrendingen,namedPlace
Aargau,First Order Division
Switzerland,Country
Aarau,Second Order Division
Aargau,First Order Division
Switzerland,Country
Mellingerstrasse,namedPlace
Baden,Second Order Division
Aargau,First Order Division
Switzerland,Country
Erlinsbach,namedPlace
Aargau,First Order Division
Switzerland,Country
Mülligen,namedPlace
Aargau,First Order Division
Switzerland,Country
Birmenstorf,namedPlace
Aargau,First Order Division
Switzerland,Country
Kraftwerk Klingnau,namedPlace
Klingnau,namedPlace
Aargau,First Order Division
Switzerland,Country
Oberehrendingen,namedPlace
Aargau,First Order Division
Switzerland,Country
Mellikon,namedPlace
Aargau,First Order Division
Switzerland,Country
Öhningen,namedPlace
Konstanz,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Schleitheim,Second Order Division
Schaffhausen,First Order Division
Switzerland,Country
Mühlethal,namedPlace
Schaffhausen,First Order Division
Switzerland,Country
Schaffhausen,First Order Division
Switzerland,Country
Schöntal,namedPlace
Füllinsdorf,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Niederschöntal,namedPlace
Füllinsdorf,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Nuglar-St. Pantaleon,namedPlace
Solothurn,First Order Division
Switzerland,Country
Niederschöntal near Liestal,namedPlace
Baselland,namedPlace
Switzerland,Country
Bubendorf,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Eisenbahndurchschnitt near Liestal,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Liestal,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Gegend von Waldenburg,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Landschachen,namedPlace
Bubendorf,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Heidenloch an der Ergolz,namedPlace
Liestal,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Waldmattli,namedPlace
Waldenburg,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Titterten,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Holzenberg,namedPlace
Seewen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Gorisen,namedPlace
Reigoldswil,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Reigoldswil,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Muniloch,namedPlace
Lauwil,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Arboldswil,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Waldenburg,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Itingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Eisenbahndurchschnitt near Itingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Hauensteintunnel,namedPlace
Basel-Landschaft/Solothurn,namedPlace
Switzerland,Country
Wisenberg,namedPlace
Häfelfingen,namedPlace
Basel-LandschaftSchweiz,namedPlace
Tunnel near Läufelfingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Tenniken,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Lausen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Huppergrube Kohlholz,namedPlace
Lausen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Diegten,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Schmutzberg,namedPlace
Eptingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Läufelfingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Unter Hauenstein,namedPlace
Hauenstein-Ifenthal,namedPlace
Solothurn,First Order Division
Switzerland,Country
Wolfgraben,namedPlace
Itingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Gipsgrube Wissbrunn,namedPlace
Zeglingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Hauenstein-Basistunnel,namedPlace
Basel-Landschaft/Solothurn,namedPlace
Switzerland,Country
Ormalingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Burgenrain,namedPlace
Sissach,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Böttstein,namedPlace
Aargau,First Order Division
Switzerland,Country
Wenslingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Hauenstein-Basistunnel (Winznau),namedPlace
Switzerland,Country
Hauenstein-Tunnel,namedPlace
Tecknau,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Laufen,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Dornach,namedPlace
Solothurn,First Order Division
Switzerland,Country
Schartenflue (Gempenstollen),namedPlace
Gempen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Quarry Hornberg,namedPlace
Arlesheim,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Münchenstein,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Cave (Glitzersteinhöhle) near Gempen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Neuewelt,namedPlace
Münchenstein,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Quarry oberhalb Dornach,namedPlace
Solothurn,First Order Division
Switzerland,Country
Burg Reichenstein,namedPlace
Arlesheim,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Arlesheim,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Zwingen/ Laufen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Liesbergmühle,namedPlace
Liesberg,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Liesberg,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Tongrube Liesberg,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Quarry im Schachental,namedPlace
Laufen,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Umgebung von Aesch,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Tschöpperli,namedPlace
Pfeffingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Umgebung von Kleinlützel,namedPlace
Solothurn,First Order Division
Switzerland,Country
Zwingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Bois du Treuil,namedPlace
Soyhières,namedPlace
Jura,First Order Division
Switzerland,Country
Muttenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Schänzli,namedPlace
Münchenstein,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Wartenberg,namedPlace
Muttenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Eggflue,namedPlace
Nenzlingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Mine near Zimmerbach,namedPlace
Vallée de la Fecht (Fechttal),namedPlace
Turckheim (Türkheim),namedPlace
Haut-Rhin,First Order Division
France,Country
Col de Bagenelles,namedPlace
Echery (Eckirch),namedPlace
Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Lapoutroie (Schnierlach),namedPlace
Haut-Rhin,First Order Division
France,Country
Ribeauvillé (Rappoltsweiler),namedPlace
